0,Ezért,O
1,az,O
2,ültetvényekre,O
3,Afrikából,B-LOC
4,néger,O
5,rabszolgákat,O
6,hoztak,O
7,be,O
8,.,O
9,ÁTIRÁNYÍTÁS,O
10,Novorosszija,B-LOC
11,(,I-LOC
12,állam,I-LOC
13,),I-LOC
14,Antall,B-PER
15,József,I-PER
16,(,O
17,MDF,B-ORG
18,),O
19,miniszterelnök,O
20,1990–93,O
21,Yannick,B-PER
22,Noah,I-PER
23,'',O
24,(,O
25,Negyeddöntő,O
26,),O
27,'',O
28,ÁTIRÁNYÍTÁS,O
29,Saint-Jean-le-Vieux,B-LOC
30,(,I-LOC
31,Isère,I-LOC
32,),I-LOC
33,Daróczi,B-PER
34,Dávid,I-PER
35,(,O
36,1972–2010,O
37,),O
38,Luxemburgba,B-LOC
39,és,O
40,Namurba,O
41,az,O
42,ellenség,O
43,többször,O
44,betört,O
45,és,O
46,fosztogatott,O
47,.,O
48,A,O
49,kínzások,O
50,után,O
51,a,O
52,nő,O
53,megvallotta,O
54,",",O
55,hogy,O
56,boszorkánykapitány,O
57,volt,O
58,",",O
59,ördögökkel,B-PER
60,szövetkezett,O
61,",",O
62,de,O
63,a,O
64,két,O
65,ezüstkanálról,O
66,nem,O
67,tudott,O
68,semmit,O
69,.,O
70,Itt,O
71,kezdődött,O
72,el,O
73,barátsága,O
74,Weöres,B-PER
75,Sándorral,I-PER
76,.,O
77,A,O
78,677,O
79,helyen,O
80,az,O
81,Euler-függvény,B-ORG
82,helyettesítési,O
83,értéke,O
84,676,O
85,",",O
86,a,O
87,Möbius-függvényé,B-ORG
88,.,O
89,Clarke,B-LOC
90,megye,I-LOC
91,(,I-LOC
92,Iowa,I-LOC
93,),I-LOC
94,Ebben,O
95,a,O
96,szócikkben,O
97,található,O
98,a,O
99,Veszprém,B-ORG
100,FC,I-ORG
101,szezononkénti,O
102,játékoskerete,O
103,.,O
104,Robin,B-PER
105,Söderling,I-PER
106,'',O
107,(,O
108,harmadik,O
109,kör,O
110,),O
111,A,O
112,Magyar,B-ORG
113,Tudományos,I-ORG
114,Akadémia,I-ORG
115,Irodalomtudományi,O
116,Bizottságának,O
117,lett,O
118,tagja,O
119,.,O
120,Ő,O
121,képviselte,O
122,Örményországot,B-LOC
123,a,O
124,2014-es,B-ORG
125,Eurovíziós,I-ORG
126,Dalfesztiválon,I-ORG
127,",",O
128,a,O
129,dán,B-LOC
130,fővárosban,O
131,",",O
132,Koppenhágában,B-LOC
133,.,O
134,Tanításait,O
135,a,O
136,Szabad,B-ORG
137,Európa,I-ORG
138,Rádió,I-ORG
139,is,O
140,sokszor,O
141,közölte,O
142,és,O
143,a,O
144,Szolidaritás,B-ORG
145,híve,O
146,volt,O
147,.,O
148,Nemesbikkről,B-LOC
149,származott,O
150,",",O
151,apja,O
152,földműves,O
153,volt,O
154,.,O
155,Bioinformatikát,O
156,tanult,O
157,a,O
158,Tübingeni,B-ORG
159,Egyetem,I-ORG
160,.,O
161,Lakat,B-PER
162,Károllyal,I-PER
163,nagyszerű,O
164,fedezetpárt,O
165,alkotott,O
166,.,O
167,A,O
168,Deszkatemplom,B-ORG
169,temetőjében,O
170,temették,O
171,el,O
172,.,O
173,',O
174,'',O
175,Maserati,B-ORG
176,'',O
177,',O
178,ÁTIRÁNYÍTÁS,O
179,Nagyezsda,B-PER
180,Konsztantyinovna,I-PER
181,Krupszkaja,I-PER
182,',O
183,'',O
184,Giuseppe,B-PER
